,Ax,Az,Bx,Bz,Mx,Mz,Nx,Nz,Voltage,Uncertainty
89,70.0,0.0,80.0,0.0,120.0,0.0,130.0,0.0,-0.20863856318817295,0.0
90,70.0,0.0,80.0,0.0,130.0,0.0,140.0,0.0,-0.1257529366999614,0.0
91,70.0,0.0,80.0,0.0,140.0,0.0,150.0,0.0,-0.07911831511863851,0.0
92,70.0,0.0,80.0,0.0,150.0,0.0,160.0,0.0,-0.052543451379859184,0.0
93,70.0,0.0,80.0,0.0,160.0,0.0,170.0,0.0,-0.03663116386150915,0.0
94,90.0,0.0,100.0,0.0,110.0,0.0,120.0,0.0,-2.797239352585222,0.0
95,90.0,0.0,100.0,0.0,120.0,0.0,130.0,0.0,-0.4838806885222357,0.0
96,90.0,0.0,100.0,0.0,130.0,0.0,140.0,0.0,-0.1830423990843771,0.0
97,90.0,0.0,100.0,0.0,140.0,0.0,150.0,0.0,-0.08957953219683652,0.0
98,90.0,0.0,100.0,0.0,150.0,0.0,160.0,0.0,-0.05029095293847887,0.0
99,90.0,0.0,100.0,0.0,160.0,0.0,170.0,0.0,-0.030920676708524306,0.0
100,90.0,0.0,100.0,0.0,170.0,0.0,180.0,0.0,-0.020331803563009915,0.0
101,90.0,0.0,100.0,0.0,180.0,0.0,190.0,0.0,-0.014065023350388516,0.0
102,110.0,0.0,120.0,0.0,130.0,0.0,140.0,0.0,-6.349618177974583,0.0
103,110.0,0.0,120.0,0.0,140.0,0.0,150.0,0.0,-1.6305242397592044,0.0
104,110.0,0.0,120.0,0.0,150.0,0.0,160.0,0.0,-0.6550093411283661,0.0
105,110.0,0.0,120.0,0.0,160.0,0.0,170.0,0.0,-0.32462464333697394,0.0
106,110.0,0.0,120.0,0.0,170.0,0.0,180.0,0.0,-0.18233339390448752,0.0
107,110.0,0.0,120.0,0.0,180.0,0.0,190.0,0.0,-0.11148233823183344,0.0
108,110.0,0.0,120.0,0.0,190.0,0.0,200.0,0.0,-0.07247960536686376,0.0
109,140.0,0.0,150.0,0.0,160.0,0.0,170.0,0.0,-5.939180598864732,0.0
110,140.0,0.0,150.0,0.0,170.0,0.0,180.0,0.0,-1.465832303323009,0.0
111,140.0,0.0,150.0,0.0,180.0,0.0,190.0,0.0,-0.5748373358738532,0.0
112,140.0,0.0,150.0,0.0,190.0,0.0,200.0,0.0,-0.27983521525766863,0.0
113,150.0,0.0,160.0,0.0,170.0,0.0,180.0,0.0,-5.93010626746617,0.0
114,150.0,0.0,160.0,0.0,180.0,0.0,190.0,0.0,-1.459402738670787,0.0
115,150.0,0.0,160.0,0.0,190.0,0.0,200.0,0.0,-0.5699274769218244,0.0
